Statistics Type on NE	Statistics Type and Statistics Counters desription	Statistics Counter on NE	Counter Name in XML	IMS element 	comment
CV_StstSubscriber = 0	Subscriber statistics				
	Originating call attempt	CV_OrgCallAtt = 1	SC.AttSessions.orig	S-CSCF	kriteriji za poveèanje števca so enaki kot kriteriji za poveèanje števca SC.AttSessions po standardu TS 22.409
	Originating call incomplete dialling	CV_OrgIncmpl = 2	IT.SUBS.OrigIncmpl	S-CSCF	kriteriji za poveèanje števca so enaki kot kriteriji za poveèanje števca SC.FailSessions.sum po standardu TS 22.409
	Originating call wrong number	CV_OrgWrongDN = 3	SC.FailSession.404	S-CSCF	kriteriji za poveèanje števca so enaki kot kriteriji za poveèanje števca SC.FailSessions.sum po standardu TS 22.409  - 404 Not Found: The server has definitive information that the user does not exist at the domain specified in the Request-URI. This status is also returned if the domain in the Request-URI does not match any of the domains handled by the recipient of the request
	Originating unsuccessful call, other reason	CV_OrgUnsucc = 4	IT.SUBS.OrgUnsuccOther	S-CSCF	kriteriji za poveèanje števca so enaki kot kriteriji za poveèanje števca SC.FailSessions.sum po standardu TS 22.409
	Originating outgoing call	CV_OrgOutg = 5			števec v IMS ni smiselen
	Originating call, called user busy	CV_OrgTermBusy = 6	SC.FailSession.486.orig	S-CSCF	486 Busy Here:  Callee is busy
	Originating call, called user free, no answer	CV_OrgTermNoAnswer = 7	SC.RelAfterRing.orig	S-CSCF	kriteriji za poveèanje števca so enaki kot kriteriji za poveèanje števca SC.RelAfterRing po standardu TS 22.409
	Originating call, called user answer	CV_OrgAnswer = 8	SC.AnsSession.orig	S-CSCF	kriteriji za poveèanje števca so enaki kot kriteriji za poveèanje števca SC.AnsSessions po standardu TS 22.409
	Originating call, no free trunk to destination	CV_OrgNoTrunk = 9			števec v IMS ni smiselen
	Originating traffic	CV_OrgTraffic = 10	IT.SUBS.OrgTraffic	S-CSCF	
	Terminating call attempt	CV_TermCallAtt = 11	SC.AttSessions.term	S-CSCF	kriteriji za poveèanje števca so enaki kot kriteriji za poveèanje števca SC.AttSessionTerm po standardu TS 22.409, ki se meri na P-CSCF in I-CSCF
	Terminating incoming call	CV_TermIncom = 12			števec v IMS ni smiselen
	Terminating call, called user busy	CV_TermTermBusy = 13	SC.FailSession.486.term	S-CSCF	
	Terminating call, called user free, no answer	CV_TermTermNoAnswer = 14	SC.RelAfterRing.term	S-CSCF	kriteriji za poveèanje števca so enaki kot kriteriji za poveèanje števca SC.RelAfterRing po standardu TS 22.409
	Terminating call, called user answer	CV_TermAnswer = 15	SC.AnsSession.term	S-CSCF	kriteriji za poveèanje števca so enaki kot kriteriji za poveèanje števca SC.SuccSessionTerm.sum po standardu TS 22.409, ki se meri na P-CSCF in I-CSCF
	Terminating unsuccessful call, other reason	CV_TermUnsucc = 16	IT.SUBS.TermUnsuccOther	S-CSCF	
	Terminating traffic	CV_TermTraffic = 17	IT.SUBS.TermTraffic	S-CSCF	
	Originating outgoing call incomplete dialling	CV_OrgOutIncmpl = 21			števec v IMS ni smiselen
	Originating outgoing call wrong number	CV_OrgOutWrongDN = 22			števec v IMS ni smiselen
	Originating outgoing unsuccessful call, other reason	CV_OrgOutUnsucc = 23			števec v IMS ni smiselen
	Originating outgoing call, called user busy	CV_OrgOutTermBusy = 24			števec v IMS ni smiselen
	Originating outgoing call, called user free, no answer	CV_OrgOutTermNoAnswer = 25			števec v IMS ni smiselen
	Originating  outgoing call, called user answer	CV_OrgOutAnswer = 26			števec v IMS ni smiselen
	Terminating incoming call, called user busy	CV_TermIncTermBusy = 27			števec v IMS ni smiselen
	Terminating incoming call, called user free, no answer	CV_TermIncTermNoAnswer = 28			števec v IMS ni smiselen
	Terminating incoming call, called user answer	CV_TermIncAnswer = 29			števec v IMS ni smiselen
	Terminating incoming unsuccessful call, other reason	CV_TermIncUnsucc = 30			števec v IMS ni smiselen
CV_StstTrunkGrp = 1	Trunk Groups Statistics				
	Incoming call attempt	CV_IncCallAtt = 1	IT.TG.IncCallAtt	BGCF, MGCF, RGCF	
	Incoming call incomplete dialling	CV_IncIncmpl = 3	IT.TG.IncIncmpl	BGCF, MGCF, RGCF	
	Incoming call wrong number	CV_IncWrongDN = 4	IT.TG.IncWrongDN	BGCF, MGCF, RGCF	
	Incoming unsuccessful call, other reason	CV_IncUnsucc = 5	IT.TG.IncUnsuccOther	BGCF, MGCF, RGCF	
	Incoming outgoing call - transit	CV_IncOutg = 2			števec v IMS ni smiselen
	Incomming call, called user busy	CV_IncTermBusy = 6	IT.TG.IncTermBusy	BGCF, MGCF, RGCF	
	Incomming call, called user free, no answer	CV_IncTermNoAnswer = 7	IT.TG.IncTermNoAnswer	BGCF, MGCF, RGCF	
	Incomming call, called user answer	CV_IncAnswer = 8	IT.TG.IncAnswer	BGCF, MGCF, RGCF	
	Incomming call, no free trunk to destination	CV_IncNoTrunk = 9	IT.TG.IncNoTrunk	BGCF, MGCF, RGCF	
	Incomming traffic	CV_IncTraffic = 10	IT.TG.IncTraffic	BGCF, MGCF, RGCF	
	Outgoing call attempt	CV_OutCallAtt = 11	IT.TG.OutCallAtt	BGCF, MGCF, RGCF	
	Outgoing incoming call - transit	CV_OutIncom = 12			števec v IMS ni smiselen
	Outgoing call, called user busy	CV_OutTermBusy = 13	IT.TG.OutTermBusy	BGCF, MGCF, RGCF	
	Outgoing call, called user free, no answer	CV_OutTermNoAnswer = 14	IT.TG.OutTermNoAnswer	BGCF, MGCF, RGCF	
	Outgoing call, called user answer	CV_OutAnswer = 15	IT.TG.OutAnswer	BGCF, MGCF, RGCF	
	Outgoing unsuccessful call, other reason	CV_OutUnsucc = 16	IT.TG.OutUnsuccOther	BGCF, MGCF, RGCF	
	Outgoing call, no free trunk to destination	CV_OutNoTrunk = 17	IT.TG.OutNoTrunk	BGCF, MGCF, RGCF	
	Outgoing traffic	CV_OutTraffic = 18	IT.TG.OutTraffic	BGCF, MGCF, RGCF	
	Incomming outgoing call incomplete dialling	CV_IncOutIncmpl = 21			števec v IMS ni smiselen
	Incomming outgoing call wrong number	CV_IncOutWrongDN = 22			števec v IMS ni smiselen
	Incomming outgoing unsuccessful call, other reason	CV_IncOutUnsucc = 23			števec v IMS ni smiselen
	Incomming outgoing call, called user busy	CV_IncOutTermBusy = 24			števec v IMS ni smiselen
	Incomming outgoing call, called user free, no answer	CV_IncOutTermNoAnswer = 25			števec v IMS ni smiselen
	Incomming outgoing call, called user answer	CV_IncOutAnswer = 26			števec v IMS ni smiselen
	Outgoing incoming call, called user busy	CV_OutIncTermBusy = 27			števec v IMS ni smiselen
	Outgoing incoming call, called user free, no answer	CV_OutIncTermNoAnswer = 28			števec v IMS ni smiselen
	Outgoing incoming call, called user answer	CV_OutIncAnswer = 29			števec v IMS ni smiselen
	Outgoing incoming unsuccessful call, other reason	CV_OutIncUnsucc = 30 			števec v IMS ni smiselen
	Outgoing incoming call, no free trunk to destination	CV_OutIncNoTrunk = 31			števec v IMS ni smiselen
CV_StstTrunk = 16	Trunk Statistics				
	Incoming call attempt	CV_IncCallAtt = 1	IT.T.IncCallAtt	BGCF, MGCF, RGCF	
	Incoming call incomplete dialling	CV_IncIncmpl = 3	IT.T.IncIncmpl	BGCF, MGCF, RGCF	
	Incoming call wrong number	CV_IncWrongDN = 4	IT.T.IncWrongDN	BGCF, MGCF, RGCF	
	Incoming unsuccessful call, other reason	CV_IncUnsucc = 5	IT.T.IncUnsuccOther	BGCF, MGCF, RGCF	
	Incoming outgoing call - transit	CV_IncOutg = 2			števec v IMS ni smiselen
	Incoming call, called user busy	CV_IncTermBusy = 6	IT.T.IncTermBusy	BGCF, MGCF, RGCF	
	Incoming call, called user free, no answer	CV_IncTermNoAnswer = 7	IT.T.IncTermNoAnswer	BGCF, MGCF, RGCF	
	Incoming call, called user answer	CV_IncAnswer = 8	IT.T.IncAnswer	BGCF, MGCF, RGCF	
	Incoming call, no free trunk to destination	CV_IncNoTrunk = 9	IT.T.IncNoTrunk	BGCF, MGCF, RGCF	
	Incoming traffic	CV_IncTraffic = 10	IT.T.IncTraffic	BGCF, MGCF, RGCF	
	Outgoing call attempt	CV_OutCallAtt = 11	IT.T.OutCallAtt	BGCF, MGCF, RGCF	
	Outgoing incoming call - transit	CV_OutIncom = 12 			števec v IMS ni smiselen
	Outgoing call, called user busy	CV_OutTermBusy = 13	IT.T.OutTermBusy	BGCF, MGCF, RGCF	
	Outgoing call, called user free, no answer	CV_OutTermNoAnswer = 14	IT.T.OutTermNoAnswer	BGCF, MGCF, RGCF	
	Outgoing call, called user answer	CV_OutAnswer = 15	IT.T.OutAnswer	BGCF, MGCF, RGCF	
	Outgoing unsuccessful call, other reason	CV_OutUnsucc = 16	IT.T.OutUnsuccOther	BGCF, MGCF, RGCF	
	Outgoing call, no free trunk to destination	CV_OutNoTrunk = 17	IT.T.OutNoTrunk	BGCF, MGCF, RGCF	
	Outgoing traffic	CV_OutTraffic = 18	IT.T.OutTraffic	BGCF, MGCF, RGCF	
	Incoming outgoing call incomplete dialling	CV_IncOutIncmpl = 21			števec v IMS ni smiselen
	Incoming outgoing call wrong number	CV_IncOutWrongDN = 22			števec v IMS ni smiselen
	Incoming outgoing unsuccessful call, other reason	CV_IncOutUnsucc = 23			števec v IMS ni smiselen
	Incoming outgoing call, called user busy	CV_IncOutTermBusy = 24			števec v IMS ni smiselen
	Incoming outgoing call, called user free, no answer	CV_IncOutTermNoAnswer = 25			števec v IMS ni smiselen
	Incoming outgoing call, called user answer	CV_IncOutAnswer = 26			števec v IMS ni smiselen
	Outgoing incoming call, called user busy	CV_OutIncTermBusy = 27			števec v IMS ni smiselen
	Outgoing incoming call, called user free, no answer	CV_OutIncTermNoAnswer = 28			števec v IMS ni smiselen
	Outgoing incoming call, called user answer	CV_OutIncAnswer = 29			števec v IMS ni smiselen
	Outgoing incoming unsuccessful call, other reason	CV_OutIncUnsucc = 30			števec v IMS ni smiselen
	Outgoing incoming call, no free trunk to destination	CV_OutIncNoTrunk = 31			števec v IMS ni smiselen
CV_RouteStstGrp = 201	Route Statistics				
	Outgoing call attempt	CV_RouteCallAtt = 1	IT.RouteCallAtt	BGCF, MGCF, RGCF	
	Outgoing incoming call - transit	CV_RouteIncom = 2			števec v IMS ni smiselen
	Outgoing unsuccessful call, other reason	CV_RouteUnsucc = 3	IT.RouteUnsuccOther	BGCF, MGCF, RGCF	
	Outgoing incoming unsuccessful call, other reason	CV_RouteIncUnsucc = 4			števec v IMS ni smiselen
	Outgoing call, called user busy	CV_RouteTermBusy = 5	IT.RouteTermBusy	BGCF, MGCF, RGCF	
	Outgoing incoming call, called user busy	CV_RouteIncTermBusy = 6			števec v IMS ni smiselen
	Outgoing call, called user free, no answer	CV_RouteTermNoAnswer = 7	IT.RouteTermNoAnswer	BGCF, MGCF, RGCF	
	Outgoing incoming call, called user free, no answer	CV_RouteIncTermNoAnswer = 8			števec v IMS ni smiselen
	Outgoing call, called user answer	CV_RouteAnswer = 9	IT.RouteAnswer	BGCF, MGCF, RGCF	
	Outgoing incoming call, called user answer	CV_RouteIncAnswer = 10			števec v IMS ni smiselen
	Outgoing call, no free trunk to destination	CV_RouteNoTrunk = 11	IT.RouteNoTrunk	BGCF, MGCF, RGCF	
	Outgoing incoming call, no free trunk to destination	CV_RouteIncNoTrunk = 12			števec v IMS ni smiselen
CV_StstDTMF = 2	DTMF signaling units Statistics				
	Signalling unit, receiver request	CV_SuRecReq = 1	IT.DTMF.SuRecReq	MGCF, RGCF	
	Signalling unit, receiver request, successful	CV_SuRecReqSucc = 2	IT.DTMF.SuRecReqSucc	MGCF, RGCF	
	Signalling unit, receiver traffic	CV_SuRecTraffic = 3	IT.DTMF.SuRecTraffic	MGCF, RGCF	
	Signalling unit, generator request	CV_SuGenReq = 4	IT.DTMF.SuGenReq	MGCF, RGCF	
	Signaling unit, generator request, successful	CV_SuGenReqSucc = 5	IT.DTMF.SuGenReqSucc	MGCF, RGCF	
	Signalling unit, generator traffic	CV_SuGenTraffic = 6	IT.DTMF.SuGenTraffic	MGCF, RGCF	
CV_StstR2 = 3	R2 signaling units Statistics				
	Signalling unit, receiver request	CV_SuRecReq = 1	IT.R2.SuRecReq	MGCF, RGCF	
	Signalling unit, receiver request, successful	CV_SuRecReqSucc = 2	IT.R2.SuRecReqSucc	MGCF, RGCF	
	Signalling unit, receiver traffic	CV_SuRecTraffic = 3	IT.R2.SuRecTraffic	MGCF, RGCF	
	Signalling unit, generator request	CV_SuGenReq = 4	IT.R2.SuGenReq	MGCF, RGCF	
	Signaling unit, generator request, successful	CV_SuGenReqSucc = 5	IT.R2.SuGenReqSucc	MGCF, RGCF	
	Signalling unit, generator traffic	CV_SuGenTraffic = 6	IT.R2.SuGenTraffic	MGCF, RGCF	
CV_StstPT = 4	PT signaling units Statistics				
	Signalling unit, receiver request	CV_SuRecReq = 1	IT.PT.SuRecReq	MGCF, RGCF	
	Signalling unit, receiver request, successful	CV_SuRecReqSucc = 2	IT.PT.SuRecReqSucc	MGCF, RGCF	
	Signalling unit, receiver traffic	CV_SuRecTraffic = 3	IT.PT.SuRecTraffic	MGCF, RGCF	
	Signalling unit, generator request	CV_SuGenReq = 4	IT.PT.SuGenReq	MGCF, RGCF	
	Signaling unit, generator request, successful	CV_SuGenReqSucc = 5	IT.PT.SuGenReqSucc	MGCF, RGCF	
	Signalling unit, generator traffic	CV_SuGenTraffic = 6	IT.PT.SuGenTraffic	MGCF, RGCF	
CV_StstSND_MF = 5	SND_MF signaling units Statistics				
	Signalling unit, receiver request	CV_SuRecReq = 1	IT.SND.SuRecReq	MGCF, RGCF	
	Signalling unit, receiver request, successful	CV_SuRecReqSucc = 2	IT.SND.SuRecReqSucc	MGCF, RGCF	
	Signalling unit, receiver traffic	CV_SuRecTraffic = 3	IT.SND.SuRecTraffic	MGCF, RGCF	
	Signalling unit, generator request	CV_SuGenReq = 4	IT.SND.SuGenReq	MGCF, RGCF	
	Signaling unit, generator request, successful	CV_SuGenReqSucc = 5	IT.SND.SuGenReqSucc	MGCF, RGCF	
	Signalling unit, generator traffic	CV_SuGenTraffic = 6	IT.SND.SuGenTraffic	MGCF, RGCF	
CV_StstAON = 6	AON signaling units Statistics			MGCF, RGCF	
	Signalling unit, receiver request	CV_SuRecReq = 1	IT.AON.SuRecReq	MGCF, RGCF	
	Signalling unit, receiver request, successful	CV_SuRecReqSucc = 2	IT.AON.SuRecReqSucc	MGCF, RGCF	
	Signalling unit, receiver traffic	CV_SuRecTraffic = 3	IT.AON.SuRecTraffic	MGCF, RGCF	
	Signalling unit, generator request	CV_SuGenReq = 4	IT.AON.SuGenReq	MGCF, RGCF	
	Signaling unit, generator request, successful	CV_SuGenReqSucc = 5	IT.AON.SuGenReqSucc	MGCF, RGCF	
	Signalling unit, generator traffic	CV_SuGenTraffic = 6	IT.AON.SuGenTraffic	MGCF, RGCF	
CV_StstR1 = 7	R1 signaling units Statistics				
	Signalling unit, receiver request	CV_SuRecReq = 1	IT.R1.SuRecReq	MGCF, RGCF	
	Signalling unit, receiver request, successful	CV_SuRecReqSucc = 2	IT.R1.SuRecReqSucc	MGCF, RGCF	
	Signalling unit, receiver traffic	CV_SuRecTraffic = 3	IT.R1.SuRecTraffic	MGCF, RGCF	
	Signalling unit, generator request	CV_SuGenReq = 4	IT.R1.SuGenReq	MGCF, RGCF	
	Signaling unit, generator request, successful	CV_SuGenReqSucc = 5	IT.R1.SuGenReqSucc	MGCF, RGCF	
	Signalling unit, generator traffic	CV_SuGenTraffic = 6	IT.R1.SuGenTraffic	MGCF, RGCF	
CV_CTXStstGrp = 18	Centrex group Statistics				
	CTX originating call attempt	CV_CTXOrgCallAtt = 1	IT.CTXOrgCallAtt	TAS	
	CTX originating external call	CV_CTXOrgExt = 2	IT.CTXOrgExt	TAS	
	CTX originating remote internal call	CV_CTXOrgRemIntCall = 3	IT.CTXOrgRemIntCall	TAS	
	CTX originating call incomplete dialling	CV_CTXOrgIncmpl = 4	IT.CTXOrgIncmpl	TAS	
	CTX originating external call incomplete dialling	CV_CTXOrgExtIncmpl = 5	IT .CTXOrgExtIncmpl	TAS	
	CTX originating call wrong number	CV_CTXOrgWrongDN = 6	IT.CTXOrgWrongDN	TAS	
	CTX originating external call wrong number 	CV_CTXOrgExtWrongDN = 7	IT.CTXOrgExtWrongDN	TAS	
